# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
CDS	with_protein	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	11215	12537	+	WP_224150735.1	WP_224150735.1		MFS transporter			LAD35_RS00035	1323	440	
gene	protein_coding	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	12599	14812	-							LAD35_RS00040	2214		old_locus_tag=LAD35_00040
CDS	with_protein	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	12599	14812	-	WP_224150736.1	WP_224150736.1		prolyl oligopeptidase family serine peptidase			LAD35_RS00040	2214	737	
gene	protein_coding	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	15011	15802	+							LAD35_RS00045	792		old_locus_tag=LAD35_00045
CDS	with_protein	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	15011	15802	+	WP_224150737.1	WP_224150737.1		DUF4111 domain-containing protein			LAD35_RS00045	792	263	
gene	protein_coding	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	15880	16716	+							LAD35_RS00050	837		old_locus_tag=LAD35_00050
CDS	with_protein	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	15880	16716	+	WP_224150738.1	WP_224150738.1		alpha/beta hydrolase			LAD35_RS00050	837	278	
gene	protein_coding	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	16841	17137	+							LAD35_RS00055	297		old_locus_tag=LAD35_00055
CDS	with_protein	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	16841	17137	+	WP_224150739.1	WP_224150739.1		YciI family protein			LAD35_RS00055	297	98	
gene	protein_coding	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	17356	18792	+							LAD35_RS00060	1437		old_locus_tag=LAD35_00060
CDS	with_protein	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	17356	18792	+	WP_224152846.1	WP_224152846.1		MFS transporter			LAD35_RS00060	1437	478	
gene	protein_coding	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	18816	20357	+							LAD35_RS00065	1542		old_locus_tag=LAD35_00065
CDS	with_protein	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	18816	20357	+	WP_224150740.1	WP_224150740.1		glycerol kinase			LAD35_RS00065	1542	513	
gene	protein_coding	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	20354	22036	+							LAD35_RS00070	1683		old_locus_tag=LAD35_00070
CDS	with_protein	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	20354	22036	+	WP_224150741.1	WP_224150741.1		glycerol-3-phosphate dehydrogenase/oxidase			LAD35_RS00070	1683	560	
gene	protein_coding	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	22030	23571	+							LAD35_RS00075	1542		old_locus_tag=LAD35_00075
CDS	with_protein	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	22030	23571	+	WP_224150742.1	WP_224150742.1		FAD-binding oxidoreductase			LAD35_RS00075	1542	513	
gene	protein_coding	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	23589	24158	+							LAD35_RS00080	570		old_locus_tag=LAD35_00080
CDS	with_protein	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	23589	24158	+	WP_224150743.1	WP_224150743.1		glycerol-3-phosphate responsive antiterminator			LAD35_RS00080	570	189	
gene	pseudogene	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	24310	25065	-							LAD35_RS00085	756		partial;pseudo;old_locus_tag=LAD35_00085
CDS	without_protein	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	24310	25065	-				rRNA pseudouridine synthase			LAD35_RS00085	756		partial;pseudo
gene	protein_coding	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	25522	25746	-							LAD35_RS00090	225		old_locus_tag=LAD35_00090
CDS	with_protein	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	25522	25746	-	WP_224150744.1	WP_224150744.1		hypothetical protein			LAD35_RS00090	225	74	
gene	protein_coding	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	25745	25933	+							LAD35_RS00095	189		old_locus_tag=LAD35_00095
CDS	with_protein	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	25745	25933	+	WP_224150745.1	WP_224150745.1		hypothetical protein			LAD35_RS00095	189	62	
gene	protein_coding	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	25952	26680	-							LAD35_RS00100	729		old_locus_tag=LAD35_00100
CDS	with_protein	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	25952	26680	-	WP_224150746.1	WP_224150746.1		Crp/Fnr family transcriptional regulator			LAD35_RS00100	729	242	
gene	protein_coding	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	26804	27058	+							LAD35_RS00105	255		old_locus_tag=LAD35_00105
CDS	with_protein	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	26804	27058	+	WP_224150747.1	WP_224150747.1		acyl-CoA-binding protein			LAD35_RS00105	255	84	
gene	protein_coding	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	27396	29342	+							LAD35_RS00110	1947		old_locus_tag=LAD35_00110
CDS	with_protein	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	27396	29342	+	WP_224150748.1	WP_224150748.1		AMP-binding protein			LAD35_RS00110	1947	648	
gene	protein_coding	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	29368	30150	+							LAD35_RS00115	783		old_locus_tag=LAD35_00115
CDS	with_protein	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	29368	30150	+	WP_184710149.1	WP_184710149.1		ABC transporter ATP-binding protein			LAD35_RS00115	783	260	
gene	protein_coding	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	30173	31102	+							LAD35_RS00120	930		old_locus_tag=LAD35_00120
CDS	with_protein	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	30173	31102	+	WP_224150750.1	WP_224150750.1		branched-chain amino acid ABC transporter permease			LAD35_RS00120	930	309	
gene	protein_coding	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	31118	32182	+							LAD35_RS00125	1065		old_locus_tag=LAD35_00125
CDS	with_protein	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	31118	32182	+	WP_224150751.1	WP_224150751.1		branched-chain amino acid ABC transporter permease			LAD35_RS00125	1065	354	
gene	protein_coding	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	32259	33569	+							LAD35_RS00130	1311		old_locus_tag=LAD35_00130
CDS	with_protein	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	32259	33569	+	WP_224150753.1	WP_224150753.1		ABC transporter substrate-binding protein			LAD35_RS00130	1311	436	
gene	protein_coding	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	33686	34513	+							LAD35_RS00135	828		old_locus_tag=LAD35_00135
CDS	with_protein	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	33686	34513	+	WP_224150754.1	WP_224150754.1		ABC transporter ATP-binding protein			LAD35_RS00135	828	275	
gene	protein_coding	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	34679	35926	+							LAD35_RS00140	1248		old_locus_tag=LAD35_00140
CDS	with_protein	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	34679	35926	+	WP_224150755.1	WP_224150755.1		AMP-binding protein			LAD35_RS00140	1248	415	
gene	protein_coding	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	36116	36358	+							LAD35_RS00145	243		old_locus_tag=LAD35_00145
CDS	with_protein	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	36116	36358	+	WP_184710161.1	WP_184710161.1		hypothetical protein			LAD35_RS00145	243	80	
gene	protein_coding	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	36454	36852	-							LAD35_RS00150	399		old_locus_tag=LAD35_00150
CDS	with_protein	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	36454	36852	-	WP_224150757.1	WP_224150757.1		OsmC family protein			LAD35_RS00150	399	132	
gene	protein_coding	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	37088	37819	-							LAD35_RS00155	732		old_locus_tag=LAD35_00155
CDS	with_protein	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	37088	37819	-	WP_224150758.1	WP_224150758.1		sulfite exporter TauE/SafE family protein			LAD35_RS00155	732	243	
gene	protein_coding	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	37828	38145	-							LAD35_RS00160	318		old_locus_tag=LAD35_00160
CDS	with_protein	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	37828	38145	-	WP_224150759.1	WP_224150759.1		hypothetical protein			LAD35_RS00160	318	105	
gene	protein_coding	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	38138	38452	-							LAD35_RS00165	315		old_locus_tag=LAD35_00165
CDS	with_protein	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	38138	38452	-	WP_224150760.1	WP_224150760.1		FixH family protein			LAD35_RS00165	315	104	
gene	protein_coding	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	38494	39948	-					ccoG		LAD35_RS00170	1455		old_locus_tag=LAD35_00170
CDS	with_protein	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	38494	39948	-	WP_224150761.1	WP_224150761.1		cytochrome c oxidase accessory protein CcoG	ccoG		LAD35_RS00170	1455	484	
gene	protein_coding	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	40081	40998	-					ccoP		LAD35_RS00175	918		old_locus_tag=LAD35_00175
CDS	with_protein	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	40081	40998	-	WP_224150763.1	WP_224150763.1		cytochrome-c oxidase, cbb3-type subunit III	ccoP		LAD35_RS00175	918	305	
gene	pseudogene	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	41031	41165	-							LAD35_RS00180	135		partial;pseudo;old_locus_tag=LAD35_00180
CDS	without_protein	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	41031	41165	-				cbb3-type cytochrome c oxidase subunit 3			LAD35_RS00180	135		partial;pseudo
gene	protein_coding	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	41177	41806	-					ccoO		LAD35_RS00185	630		old_locus_tag=LAD35_00185
CDS	with_protein	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	41177	41806	-	WP_224150764.1	WP_224150764.1		cytochrome-c oxidase, cbb3-type subunit II	ccoO		LAD35_RS00185	630	209	
gene	protein_coding	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	41822	43267	-					ccoN		LAD35_RS00190	1446		old_locus_tag=LAD35_00190
CDS	with_protein	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	41822	43267	-	WP_224150766.1	WP_224150766.1		cytochrome-c oxidase, cbb3-type subunit I	ccoN		LAD35_RS00190	1446	481	
gene	protein_coding	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	43413	43550	-					ccoS		LAD35_RS00195	138		old_locus_tag=LAD35_00195
CDS	with_protein	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	43413	43550	-	WP_224150767.1	WP_224150767.1		cbb3-type cytochrome oxidase assembly protein CcoS	ccoS		LAD35_RS00195	138	45	
gene	protein_coding	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	43569	45992	-							LAD35_RS00200	2424		old_locus_tag=LAD35_00200
CDS	with_protein	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	43569	45992	-	WP_224150768.1	WP_224150768.1		cation-translocating P-type ATPase			LAD35_RS00200	2424	807	
gene	protein_coding	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	46293	47291	-					gap		LAD35_RS00205	999		old_locus_tag=LAD35_00205
CDS	with_protein	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	46293	47291	-	WP_224150769.1	WP_224150769.1		type I glyceraldehyde-3-phosphate dehydrogenase	gap		LAD35_RS00205	999	332	
gene	protein_coding	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	47614	48162	-							LAD35_RS00210	549		old_locus_tag=LAD35_00210
CDS	with_protein	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	47614	48162	-	WP_184710180.1	WP_184710180.1		hypothetical protein			LAD35_RS00210	549	182	
gene	protein_coding	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	48259	50298	-					tkt		LAD35_RS00215	2040		old_locus_tag=LAD35_00215
CDS	with_protein	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	48259	50298	-	WP_224150770.1	WP_224150770.1		transketolase	tkt		LAD35_RS00215	2040	679	
gene	protein_coding	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	50529	51041	+							LAD35_RS00220	513		old_locus_tag=LAD35_00220
CDS	with_protein	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	50529	51041	+	WP_224150771.1	WP_224150771.1		PepSY domain-containing protein			LAD35_RS00220	513	170	
gene	protein_coding	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	51128	51688	-							LAD35_RS00225	561		old_locus_tag=LAD35_00225
CDS	with_protein	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	51128	51688	-	WP_224150772.1	WP_224150772.1		GNAT family N-acetyltransferase			LAD35_RS00225	561	186	
gene	protein_coding	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	51743	52309	-							LAD35_RS00230	567		old_locus_tag=LAD35_00230
CDS	with_protein	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	51743	52309	-	WP_224150774.1	WP_224150774.1		carboxymuconolactone decarboxylase family protein			LAD35_RS00230	567	188	
gene	protein_coding	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	52333	53679	-							LAD35_RS00235	1347		old_locus_tag=LAD35_00235
CDS	with_protein	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	52333	53679	-	WP_224150775.1	WP_224150775.1		aspartate aminotransferase family protein			LAD35_RS00235	1347	448	
gene	protein_coding	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	53981	55153	-							LAD35_RS00240	1173		old_locus_tag=LAD35_00240
CDS	with_protein	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	53981	55153	-	WP_224150776.1	WP_224150776.1		MFS transporter			LAD35_RS00240	1173	390	
gene	protein_coding	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	55218	56669	-							LAD35_RS00245	1452		old_locus_tag=LAD35_00245
CDS	with_protein	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	55218	56669	-	WP_224150777.1	WP_224150777.1		FAD-binding oxidoreductase			LAD35_RS00245	1452	483	
gene	protein_coding	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	56816	57643	-					hutG		LAD35_RS00250	828		old_locus_tag=LAD35_00250
CDS	with_protein	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	56816	57643	-	WP_224150779.1	WP_224150779.1		N-formylglutamate deformylase	hutG		LAD35_RS00250	828	275	
gene	protein_coding	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	57779	59164	-							LAD35_RS00255	1386		old_locus_tag=LAD35_00255
CDS	with_protein	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	57779	59164	-	WP_224150780.1	WP_224150780.1		formimidoylglutamate deiminase			LAD35_RS00255	1386	461	
gene	protein_coding	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	59184	59777	-							LAD35_RS00260	594		old_locus_tag=LAD35_00260
CDS	with_protein	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	59184	59777	-	WP_224150781.1	WP_224150781.1		HutD family protein			LAD35_RS00260	594	197	
gene	protein_coding	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	59790	60536	-							LAD35_RS00265	747		old_locus_tag=LAD35_00265
CDS	with_protein	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	59790	60536	-	WP_224152848.1	WP_224152848.1		amino acid ABC transporter ATP-binding protein			LAD35_RS00265	747	248	
gene	protein_coding	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	60563	61231	-							LAD35_RS00270	669		old_locus_tag=LAD35_00270
CDS	with_protein	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	60563	61231	-	WP_224150782.1	WP_224150782.1		amino acid ABC transporter permease			LAD35_RS00270	669	222	
gene	protein_coding	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	61299	62039	-							LAD35_RS00275	741		old_locus_tag=LAD35_00275
CDS	with_protein	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	61299	62039	-	WP_224150783.1	WP_224150783.1		transporter substrate-binding domain-containing protein			LAD35_RS00275	741	246	
gene	protein_coding	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	62081	62857	-							LAD35_RS00280	777		old_locus_tag=LAD35_00280
CDS	with_protein	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	62081	62857	-	WP_224150784.1	WP_224150784.1		IclR family transcriptional regulator			LAD35_RS00280	777	258	
gene	protein_coding	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	63464	64477	-							LAD35_RS00285	1014		old_locus_tag=LAD35_00285
CDS	with_protein	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	63464	64477	-	WP_224150785.1	WP_224150785.1		XdhC family protein			LAD35_RS00285	1014	337	
gene	protein_coding	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	64495	65103	-							LAD35_RS00290	609		old_locus_tag=LAD35_00290
CDS	with_protein	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	64495	65103	-	WP_224150786.1	WP_224150786.1		nucleotidyltransferase family protein			LAD35_RS00290	609	202	
gene	protein_coding	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	65248	65730	+							LAD35_RS00295	483		old_locus_tag=LAD35_00295
CDS	with_protein	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	65248	65730	+	WP_224150787.1	WP_224150787.1		(2Fe-2S)-binding protein			LAD35_RS00295	483	160	
gene	protein_coding	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	65727	68030	+							LAD35_RS00300	2304		old_locus_tag=LAD35_00300
CDS	with_protein	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	65727	68030	+	WP_224150788.1	WP_224150788.1		molybdopterin-dependent oxidoreductase			LAD35_RS00300	2304	767	
gene	protein_coding	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	68055	68792	-							LAD35_RS00305	738		old_locus_tag=LAD35_00305
CDS	with_protein	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	68055	68792	-	WP_224150789.1	WP_224150789.1		16S rRNA (uracil(1498)-N(3))-methyltransferase			LAD35_RS00305	738	245	
gene	protein_coding	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	68884	70050	-							LAD35_RS00310	1167		old_locus_tag=LAD35_00310
CDS	with_protein	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	68884	70050	-	WP_224150790.1	WP_224150790.1		phosphotransferase			LAD35_RS00310	1167	388	
gene	protein_coding	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	70165	72603	+							LAD35_RS00315	2439		old_locus_tag=LAD35_00315
CDS	with_protein	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	70165	72603	+	WP_224150791.1	WP_224150791.1		LPS-assembly protein LptD			LAD35_RS00315	2439	812	
gene	protein_coding	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	72615	74015	+							LAD35_RS00320	1401		old_locus_tag=LAD35_00320
CDS	with_protein	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	72615	74015	+	WP_224150792.1	WP_224150792.1		peptidylprolyl isomerase			LAD35_RS00320	1401	466	
gene	protein_coding	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	74130	74891	+					rsmA		LAD35_RS00325	762		old_locus_tag=LAD35_00325
CDS	with_protein	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	74130	74891	+	WP_224150793.1	WP_224150793.1		16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase RsmA	rsmA		LAD35_RS00325	762	253	
gene	protein_coding	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	75002	75427	-							LAD35_RS00330	426		old_locus_tag=LAD35_00330
CDS	with_protein	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	75002	75427	-	WP_184711584.1	WP_184711584.1		barstar family protein			LAD35_RS00330	426	141	
gene	protein_coding	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	75557	75970	-							LAD35_RS00335	414		old_locus_tag=LAD35_00335
CDS	with_protein	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	75557	75970	-	WP_224150794.1	WP_224150794.1		ribonuclease			LAD35_RS00335	414	137	
gene	protein_coding	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	76138	78450	-							LAD35_RS00340	2313		old_locus_tag=LAD35_00340
CDS	with_protein	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	76138	78450	-	WP_224150795.1	WP_224150795.1		NADP-dependent malic enzyme			LAD35_RS00340	2313	770	
gene	protein_coding	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	78889	79521	+							LAD35_RS00345	633		old_locus_tag=LAD35_00345
CDS	with_protein	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	78889	79521	+	WP_224150796.1	WP_224150796.1		hypothetical protein			LAD35_RS00345	633	210	
gene	protein_coding	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	79589	80035	+							LAD35_RS00350	447		old_locus_tag=LAD35_00350
CDS	with_protein	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	79589	80035	+	WP_224150797.1	WP_224150797.1		hypothetical protein			LAD35_RS00350	447	148	
gene	protein_coding	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	80255	81772	-							LAD35_RS00355	1518		old_locus_tag=LAD35_00355
CDS	with_protein	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	80255	81772	-	WP_184711579.1	WP_184711579.1		CoA-acylating methylmalonate-semialdehyde dehydrogenase			LAD35_RS00355	1518	505	
gene	protein_coding	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	81854	83215	-							LAD35_RS00360	1362		old_locus_tag=LAD35_00360
CDS	with_protein	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	81854	83215	-	WP_224150798.1	WP_224150798.1		aspartate aminotransferase family protein			LAD35_RS00360	1362	453	
gene	protein_coding	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	83528	85135	+							LAD35_RS00365	1608		old_locus_tag=LAD35_00365
CDS	with_protein	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	83528	85135	+	WP_224150799.1	WP_224150799.1		alkaline phosphatase D family protein			LAD35_RS00365	1608	535	
gene	protein_coding	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	85331	86812	+							LAD35_RS00370	1482		old_locus_tag=LAD35_00370
CDS	with_protein	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	85331	86812	+	WP_224150800.1	WP_224150800.1		NAD(P)/FAD-dependent oxidoreductase			LAD35_RS00370	1482	493	
gene	protein_coding	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	86856	87794	+							LAD35_RS00375	939		old_locus_tag=LAD35_00375
CDS	with_protein	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	86856	87794	+	WP_224150801.1	WP_224150801.1		alpha/beta hydrolase			LAD35_RS00375	939	312	
gene	protein_coding	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	87837	88238	+							LAD35_RS00380	402		old_locus_tag=LAD35_00380
CDS	with_protein	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	87837	88238	+	WP_224150802.1	WP_224150802.1		VOC family protein			LAD35_RS00380	402	133	
gene	protein_coding	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	88258	89124	-							LAD35_RS00385	867		old_locus_tag=LAD35_00385
