# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
CDS	with_protein	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	25607	26617	+	WP_087275604.1	WP_087275604.1		porphobilinogen synthase	hemB		CCO03_RS00100	1011	336	
gene	protein_coding	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	27173	28447	+							CCO03_RS00105	1275		old_locus_tag=CCO03_00105
CDS	with_protein	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	27173	28447	+	WP_236903954.1	WP_236903954.1		MFS transporter			CCO03_RS00105	1275	424	
gene	protein_coding	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	28557	29450	-							CCO03_RS00110	894		old_locus_tag=CCO03_00110
CDS	with_protein	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	28557	29450	-	WP_087283821.1	WP_087283821.1		acyl-CoA thioesterase II			CCO03_RS00110	894	297	
gene	protein_coding	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	30155	30856	-					queC		CCO03_RS00115	702		old_locus_tag=CCO03_00115
CDS	with_protein	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	30155	30856	-	WP_087275610.1	WP_087275610.1		7-cyano-7-deazaguanine synthase QueC	queC		CCO03_RS00115	702	233	
gene	protein_coding	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	31039	31710	-							CCO03_RS00120	672		old_locus_tag=CCO03_00120
CDS	with_protein	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	31039	31710	-	WP_087275613.1	WP_087275613.1		7-cyano-7-deazaguanine/7-aminomethyl-7-deazaguanine transporter			CCO03_RS00120	672	223	
gene	protein_coding	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	32033	33373	+					argG		CCO03_RS00125	1341		old_locus_tag=CCO03_00125
CDS	with_protein	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	32033	33373	+	WP_087275616.1	WP_087275616.1		argininosuccinate synthase	argG		CCO03_RS00125	1341	446	
gene	protein_coding	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	33609	34088	+							CCO03_RS00130	480		old_locus_tag=CCO03_00130
CDS	with_protein	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	33609	34088	+	WP_236904170.1	WP_236904170.1		phosphatidylglycerophosphatase A			CCO03_RS00130	480	159	
gene	protein_coding	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	34639	35142	+							CCO03_RS00135	504		old_locus_tag=CCO03_00135
CDS	with_protein	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	34639	35142	+	WP_087275619.1	WP_087275619.1		CinA family protein			CCO03_RS00135	504	167	
gene	protein_coding	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	35535	36113	+							CCO03_RS00140	579		old_locus_tag=CCO03_00140
CDS	with_protein	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	35535	36113	+	WP_087275622.1	WP_087275622.1		RNA-binding protein			CCO03_RS00140	579	192	
gene	protein_coding	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	36502	37278	-							CCO03_RS00145	777		old_locus_tag=CCO03_00145
CDS	with_protein	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	36502	37278	-	WP_087275625.1	WP_087275625.1		SDR family oxidoreductase			CCO03_RS00145	777	258	
gene	protein_coding	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	37275	37886	-					lptC		CCO03_RS00150	612		old_locus_tag=CCO03_00150
CDS	with_protein	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	37275	37886	-	WP_087275628.1	WP_087275628.1		LPS export ABC transporter periplasmic protein LptC	lptC		CCO03_RS00150	612	203	
gene	protein_coding	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	37886	38458	-							CCO03_RS00155	573		old_locus_tag=CCO03_00155
CDS	with_protein	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	37886	38458	-	WP_087275631.1	WP_087275631.1		HAD hydrolase family protein			CCO03_RS00155	573	190	
gene	protein_coding	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	38489	39466	-							CCO03_RS00160	978		old_locus_tag=CCO03_00160
CDS	with_protein	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	38489	39466	-	WP_087275634.1	WP_087275634.1		KpsF/GutQ family sugar-phosphate isomerase			CCO03_RS00160	978	325	
gene	protein_coding	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	39811	40365	+							CCO03_RS00165	555		old_locus_tag=CCO03_00165
CDS	with_protein	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	39811	40365	+	WP_087275636.1	WP_087275636.1		adenine phosphoribosyltransferase			CCO03_RS00165	555	184	
gene	protein_coding	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	40457	40933	-							CCO03_RS00170	477		old_locus_tag=CCO03_00170
CDS	with_protein	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	40457	40933	-	WP_087275640.1	WP_087275640.1		cyclic nucleotide-binding domain-containing protein			CCO03_RS00170	477	158	
gene	protein_coding	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	41017	41982	-							CCO03_RS00175	966		old_locus_tag=CCO03_00175
CDS	with_protein	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	41017	41982	-	WP_087283826.1	WP_087283826.1		LysR family transcriptional regulator			CCO03_RS00175	966	321	
gene	protein_coding	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	42331	43101	+							CCO03_RS00180	771		old_locus_tag=CCO03_00180
CDS	with_protein	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	42331	43101	+	WP_087283829.1	WP_087283829.1		sulfite exporter TauE/SafE family protein			CCO03_RS00180	771	256	
gene	protein_coding	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	43487	45058	-					mnmE		CCO03_RS00185	1572		old_locus_tag=CCO03_00185
CDS	with_protein	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	43487	45058	-	WP_087275643.1	WP_087275643.1		tRNA uridine-5-carboxymethylaminomethyl(34) synthesis GTPase MnmE	mnmE		CCO03_RS00185	1572	523	
gene	protein_coding	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	45222	46904	-					yidC		CCO03_RS00190	1683		old_locus_tag=CCO03_00190
CDS	with_protein	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	45222	46904	-	WP_087275646.1	WP_087275646.1		membrane protein insertase YidC	yidC		CCO03_RS00190	1683	560	
gene	protein_coding	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	46901	47170	-					yidD		CCO03_RS00195	270		old_locus_tag=CCO03_00195
CDS	with_protein	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	46901	47170	-	WP_087275649.1	WP_087275649.1		membrane protein insertion efficiency factor YidD	yidD		CCO03_RS00195	270	89	
gene	protein_coding	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	47167	47595	-							CCO03_RS00200	429		old_locus_tag=CCO03_00200
CDS	with_protein	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	47167	47595	-	WP_087275653.1	WP_087275653.1		ribonuclease P protein component			CCO03_RS00200	429	142	
gene	protein_coding	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	47663	47797	-					rpmH		CCO03_RS00205	135		old_locus_tag=CCO03_00205
CDS	with_protein	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	47663	47797	-	WP_005798102.1	WP_005798102.1		50S ribosomal protein L34	rpmH		CCO03_RS00205	135	44	
gene	protein_coding	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	48467	49444	+							CCO03_RS00210	978		old_locus_tag=CCO03_00210
CDS	with_protein	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	48467	49444	+	WP_087275656.1	WP_087275656.1		tripartite tricarboxylate transporter substrate binding protein			CCO03_RS00210	978	325	
gene	protein_coding	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	49733	49927	-							CCO03_RS00215	195		old_locus_tag=CCO03_00215
CDS	with_protein	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	49733	49927	-	WP_087275659.1	WP_087275659.1		hypothetical protein			CCO03_RS00215	195	64	
gene	protein_coding	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	50124	50951	-							CCO03_RS00220	828		old_locus_tag=CCO03_00220
CDS	with_protein	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	50124	50951	-	WP_087275662.1	WP_087275662.1		metallophosphoesterase			CCO03_RS00220	828	275	
gene	protein_coding	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	51409	52752	+							CCO03_RS00225	1344		old_locus_tag=CCO03_00225
CDS	with_protein	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	51409	52752	+	WP_087275665.1	WP_087275665.1		homoserine O-acetyltransferase			CCO03_RS00225	1344	447	
gene	protein_coding	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	52761	53345	+					metW		CCO03_RS00230	585		old_locus_tag=CCO03_00230
CDS	with_protein	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	52761	53345	+	WP_087275668.1	WP_087275668.1		methionine biosynthesis protein MetW	metW		CCO03_RS00230	585	194	
gene	protein_coding	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	53411	54289	+							CCO03_RS00235	879		old_locus_tag=CCO03_00235
CDS	with_protein	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	53411	54289	+	WP_087275672.1	WP_087275672.1		TIM barrel protein			CCO03_RS00235	879	292	
gene	protein_coding	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	54363	54596	+							CCO03_RS00240	234		old_locus_tag=CCO03_00240
CDS	with_protein	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	54363	54596	+	WP_087275675.1	WP_087275675.1		hypothetical protein			CCO03_RS00240	234	77	
gene	protein_coding	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	54978	56447	+							CCO03_RS00245	1470		old_locus_tag=CCO03_00245
CDS	with_protein	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	54978	56447	+	WP_087275678.1	WP_087275678.1		M20 family metallopeptidase			CCO03_RS00245	1470	489	
gene	protein_coding	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	56607	56858	-							CCO03_RS00250	252		old_locus_tag=CCO03_00250
CDS	with_protein	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	56607	56858	-	WP_157667416.1	WP_157667416.1		hypothetical protein			CCO03_RS00250	252	83	
gene	protein_coding	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	56956	58077	+							CCO03_RS00255	1122		old_locus_tag=CCO03_00255
CDS	with_protein	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	56956	58077	+	WP_087275684.1	WP_087275684.1		3-deoxy-7-phosphoheptulonate synthase			CCO03_RS00255	1122	373	
gene	protein_coding	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	58159	58971	-							CCO03_RS00260	813		old_locus_tag=CCO03_00260
CDS	with_protein	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	58159	58971	-	WP_087275688.1	WP_087275688.1		TlpA family protein disulfide reductase			CCO03_RS00260	813	270	
gene	protein_coding	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	59205	60176	-							CCO03_RS00265	972		old_locus_tag=CCO03_00265
CDS	with_protein	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	59205	60176	-	WP_087275691.1	WP_087275691.1		tripartite tricarboxylate transporter substrate binding protein			CCO03_RS00265	972	323	
gene	protein_coding	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	60384	64832	-							CCO03_RS00270	4449		old_locus_tag=CCO03_00270
CDS	with_protein	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	60384	64832	-	WP_236904171.1	WP_236904171.1		MG2 domain-containing protein			CCO03_RS00270	4449	1482	
gene	pseudogene	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	65546	65707	-							CCO03_RS20215	162		partial;pseudo
CDS	without_protein	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	65546	65707	-				DUF2242 domain-containing protein			CCO03_RS20215	162		partial;pseudo
gene	protein_coding	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	66756	67604	+					asd		CCO03_RS00275	849		old_locus_tag=CCO03_00275
CDS	with_protein	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	66756	67604	+	WP_087275697.1	WP_087275697.1		archaetidylserine decarboxylase	asd		CCO03_RS00275	849	282	
gene	protein_coding	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	67658	67900	+							CCO03_RS00280	243		old_locus_tag=CCO03_00280
CDS	with_protein	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	67658	67900	+	WP_087275700.1	WP_087275700.1		DUF1289 domain-containing protein			CCO03_RS00280	243	80	
gene	protein_coding	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	68255	69187	-					argC		CCO03_RS00285	933		old_locus_tag=CCO03_00285
CDS	with_protein	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	68255	69187	-	WP_087275702.1	WP_087275702.1		N-acetyl-gamma-glutamyl-phosphate reductase	argC		CCO03_RS00285	933	310	
gene	protein_coding	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	69481	70641	+					sucC		CCO03_RS00290	1161		old_locus_tag=CCO03_00290
CDS	with_protein	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	69481	70641	+	WP_087275705.1	WP_087275705.1		ADP-forming succinate--CoA ligase subunit beta	sucC		CCO03_RS00290	1161	386	
gene	protein_coding	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	70661	71554	+					sucD		CCO03_RS00295	894		old_locus_tag=CCO03_00295
CDS	with_protein	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	70661	71554	+	WP_087275708.1	WP_087275708.1		succinate--CoA ligase subunit alpha	sucD		CCO03_RS00295	894	297	
gene	protein_coding	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	71770	72519	+							CCO03_RS00300	750		old_locus_tag=CCO03_00300
CDS	with_protein	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	71770	72519	+	WP_169717499.1	WP_169717499.1		Stp1/IreP family PP2C-type Ser/Thr phosphatase			CCO03_RS00300	750	249	
gene	protein_coding	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	72634	73242	+							CCO03_RS00305	609		old_locus_tag=CCO03_00305
CDS	with_protein	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	72634	73242	+	WP_087283832.1	WP_087283832.1		FHA domain-containing protein			CCO03_RS00305	609	202	
gene	protein_coding	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	73359	75560	+							CCO03_RS00310	2202		old_locus_tag=CCO03_00310
CDS	with_protein	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	73359	75560	+	WP_087275711.1	WP_087275711.1		adenylate/guanylate cyclase domain-containing protein			CCO03_RS00310	2202	733	
gene	protein_coding	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	75584	76363	+							CCO03_RS00315	780		old_locus_tag=CCO03_00315
CDS	with_protein	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	75584	76363	+	WP_236903955.1	WP_236903955.1		3',5'-cyclic-nucleotide phosphodiesterase			CCO03_RS00315	780	259	
gene	protein_coding	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	76673	78331	-							CCO03_RS00320	1659		old_locus_tag=CCO03_00320
CDS	with_protein	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	76673	78331	-	WP_087275718.1	WP_087275718.1		AMP-binding protein			CCO03_RS00320	1659	552	
gene	protein_coding	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	78705	79418	-							CCO03_RS00325	714		old_locus_tag=CCO03_00325
CDS	with_protein	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	78705	79418	-	WP_087275723.1	WP_087275723.1		ABC transporter ATP-binding protein			CCO03_RS00325	714	237	
gene	protein_coding	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	79507	80277	-							CCO03_RS00330	771		old_locus_tag=CCO03_00330
CDS	with_protein	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	79507	80277	-	WP_236903957.1	WP_236903957.1		ABC transporter ATP-binding protein			CCO03_RS00330	771	256	
gene	protein_coding	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	80301	81182	-							CCO03_RS00335	882		old_locus_tag=CCO03_00335
CDS	with_protein	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	80301	81182	-	WP_087275728.1	WP_087275728.1		branched-chain amino acid ABC transporter permease			CCO03_RS00335	882	293	
gene	protein_coding	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	81190	82056	-							CCO03_RS00340	867		old_locus_tag=CCO03_00340
CDS	with_protein	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	81190	82056	-	WP_087275731.1	WP_087275731.1		branched-chain amino acid ABC transporter permease			CCO03_RS00340	867	288	
gene	protein_coding	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	82182	83312	-							CCO03_RS00345	1131		old_locus_tag=CCO03_00345
CDS	with_protein	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	82182	83312	-	WP_087283835.1	WP_087283835.1		ABC transporter substrate-binding protein			CCO03_RS00345	1131	376	
gene	protein_coding	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	83628	85250	-							CCO03_RS00350	1623		old_locus_tag=CCO03_00350
CDS	with_protein	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	83628	85250	-	WP_087275736.1	WP_087275736.1		YifB family Mg chelatase-like AAA ATPase			CCO03_RS00350	1623	540	
gene	protein_coding	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	85631	85969	+							CCO03_RS00355	339		old_locus_tag=CCO03_00355
CDS	with_protein	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	85631	85969	+	WP_087275739.1	WP_087275739.1		P-II family nitrogen regulator			CCO03_RS00355	339	112	
gene	protein_coding	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	86045	87715	+					amt		CCO03_RS00360	1671		old_locus_tag=CCO03_00360
CDS	with_protein	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	86045	87715	+	WP_205690339.1	WP_205690339.1		ammonium transporter	amt		CCO03_RS00360	1671	556	
gene	protein_coding	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	87846	88616	-							CCO03_RS00365	771		old_locus_tag=CCO03_00365
CDS	with_protein	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	87846	88616	-	WP_087275741.1	WP_087275741.1		SDR family oxidoreductase			CCO03_RS00365	771	256	
gene	protein_coding	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	89032	90330	+							CCO03_RS00370	1299		old_locus_tag=CCO03_00370
CDS	with_protein	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	89032	90330	+	WP_157667417.1	WP_157667417.1		prolyl oligopeptidase family serine peptidase			CCO03_RS00370	1299	432	
gene	protein_coding	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	90596	93292	-							CCO03_RS00375	2697		old_locus_tag=CCO03_00375
CDS	with_protein	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	90596	93292	-	WP_087283840.1	WP_087283840.1		bifunctional acetate--CoA ligase family protein/GNAT family N-acetyltransferase			CCO03_RS00375	2697	898	
